fact_key,time_key,location_key,disaster_key,deaths,injured,displaced,houses_damaged,economic_loss_bdt
153,20200802,44,4,1,7,1468,89,11946757.57
154,20200803,44,4,2,10,209,443,15962107.81
155,20200804,44,4,1,14,1205,236,16364804.01
156,20200805,44,4,1,7,900,225,22017770.86
157,20200806,44,4,0,5,1234,847,5618107.36
158,20200807,44,4,1,3,1988,520,3285763.53
159,20200808,44,4,2,6,2531,209,6534776.54
160,20200809,44,4,1,6,241,539,4706238.49
161,20200810,44,4,0,2,1825,166,4442277.72
162,20200811,44,4,2,5,2806,273,4475024.46
163,20200812,44,4,1,9,1392,576,4297660.53
164,20200813,44,4,2,4,870,304,8981875.19
165,20200814,44,4,1,5,440,210,9471674.99
166,20200815,44,4,0,6,307,169,4910395.02
167,20200701,46,4,11,24,13584,397,42700609.53
168,20200702,46,4,8,37,2241,578,22003807.87
169,20200703,46,4,5,31,17862,904,84127884.0
170,20200704,46,4,6,31,3966,220,21517023.83
171,20200705,46,4,5,28,20359,1835,34443011.32
172,20200706,46,4,6,32,5907,729,17893366.55
173,20200707,46,4,3,30,3206,2346,13531131.57
174,20200708,46,4,4,21,760,343,19524382.95
175,20200709,46,4,1,39,4496,1385,38005584.75
176,20200710,46,4,8,37,5678,618,34298756.81
177,20200711,46,4,4,24,8038,1028,27832083.69
178,20200712,46,4,0,22,4649,1238,26527425.72
179,20200713,46,4,7,20,9572,978,4745704.48
180,20200714,46,4,6,22,4535,2318,59006502.92
181,20200715,46,4,5,30,6404,2223,868316.65
182,20200716,46,4,2,21,5533,2417,11407375.15
183,20200717,46,4,5,24,1265,876,46385754.98
184,20200718,46,4,6,20,4109,792,34542989.85
185,20200719,46,4,2,13,6850,711,20949912.45
186,20200720,46,4,2,22,2370,390,26053440.73
187,20200721,46,4,5,14,1578,149,14826129.27
188,20200722,46,4,3,17,4993,1309,12024125.22
189,20200723,46,4,4,15,7936,953,3902236.42
190,20200724,46,4,3,13,9547,510,18222293.97
191,20200725,46,4,4,14,3546,1321,13144444.33
192,20200726,46,4,5,17,8340,804,16438225.4
193,20200727,46,4,3,18,3184,554,8967383.22
194,20200728,46,4,2,8,531,1126,30077328.05
195,20200729,46,4,0,16,5503,545,14076889.07
196,20200730,46,4,1,14,3493,1260,6949795.37
197,20200731,46,4,0,10,1357,293,5793727.93
198,20200801,46,4,2,8,4956,445,27144281.69
199,20200802,46,4,5,11,1529,1304,6023528.82
200,20200803,46,4,1,5,2495,101,18775034.9
201,20200804,46,4,2,4,2816,733,1694654.51
202,20200805,46,4,0,7,517,656,6293859.46
203,20200806,46,4,3,4,1918,772,1164650.92
204,20200807,46,4,2,5,1412,616,1718722.81
205,20200808,46,4,0,4,941,467,13354148.36
206,20200809,46,4,0,5,761,174,2136767.07
207,20200810,46,4,2,5,1813,61,7440300.23
208,20200811,46,4,0,1,571,119,4858101.23
209,20200812,46,4,1,10,996,61,1607341.59
210,20200813,46,4,0,6,1041,147,2574931.69
211,20200814,46,4,0,8,1051,136,4627046.98
212,20200815,46,4,2,1,1966,281,7481987.92
213,20200701,24,4,10,32,4601,1395,27583675.24
214,20200702,24,4,8,32,10177,1691,47520251.08
215,20200703,24,4,5,31,13571,1968,25075082.67
216,20200704,24,4,4,30,13023,1955,31828295.02
217,20200705,24,4,5,34,2764,891,18817353.99
218,20200706,24,4,3,27,19240,640,57323331.3
219,20200707,24,4,6,26,17677,2166,13808559.67
220,20200708,24,4,6,26,18915,503,26542650.69
221,20200709,24,4,5,27,13998,1343,41957579.25
222,20200710,24,4,5,19,6246,1337,46022309.25
223,20200711,24,4,4,23,6210,136,36127013.55
224,20200712,24,4,3,22,7665,2917,1405163.63
225,20200713,24,4,5,28,2122,506,5150722.42
226,20200714,24,4,6,25,2068,2491,33658887.88
227,20200715,24,4,5,25,4399,686,7582064.14
228,20200716,24,4,0,20,25292,2317,5632366.21
229,20200717,24,4,3,16,2373,900,28714464.32
230,20200718,24,4,6,30,3143,1296,16972309.17
231,20200719,24,4,6,26,10090,1099,33255713.79
232,20200720,24,4,2,15,5073,1642,54410083.14
233,20200721,24,4,2,20,3105,85,9246569.53
234,20200722,24,4,1,19,12479,806,19168907.67
235,20200723,24,4,3,16,6107,658,6442837.07
236,20200724,24,4,1,17,6195,656,68207988.26
237,20200725,24,4,1,16,3175,829,9034761.74
238,20200726,24,4,5,21,2486,494,1847574.22
239,20200727,24,4,5,20,5639,1955,10138187.27
240,20200728,24,4,3,10,1598,321,12351797.5
241,20200729,24,4,3,17,12898,1785,16584890.83
242,20200730,24,4,1,9,2669,279,5620270.82
243,20200731,24,4,3,9,2304,131,7647542.08
244,20200801,24,4,1,11,950,466,3459020.79
245,20200802,24,4,1,8,905,1746,20719044.32
246,20200803,24,4,3,12,4800,552,8780088.36
247,20200804,24,4,1,11,1554,253,13903645.66
248,20200805,24,4,4,7,1402,480,2627799.47
249,20200806,24,4,1,8,575,254,4017505.33
250,20200807,24,4,1,4,869,186,8323139.59
251,20200808,24,4,1,7,1520,150,11209861.23
252,20200809,24,4,0,3,2090,443,2860672.33
253,20200810,24,4,0,5,2867,321,6630328.54
254,20200811,24,4,2,4,1768,92,1999804.66
255,20200812,24,4,0,9,1074,322,998611.72
256,20200813,24,4,0,2,611,49,6547550.28
257,20200814,24,4,1,5,549,216,1752028.29
258,20200815,24,4,2,6,874,85,3725679.0
259,20200701,38,4,6,33,6952,1518,17397012.07
260,20200702,38,4,3,23,9765,582,36653860.65
261,20200703,38,4,5,29,19969,561,21513114.14
262,20200704,38,4,6,29,4568,2032,4158566.92
263,20200705,38,4,5,20,2447,1626,40553251.91
264,20200706,38,4,4,30,4327,2348,7240941.69
265,20200707,38,4,4,33,11141,789,14821392.91
266,20200708,38,4,9,31,18116,606,8168095.36
267,20200709,38,4,4,22,3814,1718,28956111.94
268,20200710,38,4,3,19,5443,934,23744288.73
269,20200711,38,4,4,22,3266,307,26768279.81
270,20200712,38,4,6,19,1433,2423,24337551.77
271,20200713,38,4,4,18,7544,363,20033644.3
272,20200714,38,4,2,23,2270,1529,13668313.81
273,20200715,38,4,1,23,8398,2400,29327407.97
274,20200716,38,4,6,24,3179,2362,10733826.71
275,20200717,38,4,9,19,9975,2037,16742796.38
276,20200718,38,4,5,13,5534,1195,14072965.07
277,20200719,38,4,4,27,15855,1521,9830215.94
278,20200720,38,4,4,16,4242,428,47482834.04
279,20200721,38,4,5,20,10137,499,3197728.59
280,20200722,38,4,1,11,1769,708,33999636.51
281,20200723,38,4,4,19,6720,1127,5058814.3
282,20200724,38,4,4,16,6005,2504,18520906.81
283,20200725,38,4,3,19,1210,255,10535661.44
284,20200726,38,4,2,15,5514,262,21781327.91
285,20200727,38,4,2,19,3805,666,7077106.89
286,20200728,38,4,0,16,2831,630,3857601.09
287,20200729,38,4,2,12,3810,528,3008870.74
288,20200730,38,4,2,16,4929,346,26844663.42
289,20200731,38,4,0,14,4302,242,10341262.65
290,20200801,38,4,2,8,4651,931,8001960.36
291,20200802,38,4,1,10,1343,328,20853330.42
292,20200803,38,4,5,11,1204,31,9080823.83
293,20200804,38,4,3,8,4271,69,4171945.33
294,20200805,38,4,3,4,1517,226,7344768.44
295,20200806,38,4,1,5,2977,637,7348926.38
296,20200807,38,4,1,8,980,83,12344323.97
297,20200808,38,4,1,5,3602,606,6874737.05
298,20200809,38,4,2,6,1517,492,3668175.98
299,20200810,38,4,1,7,816,208,6361371.12
300,20200811,38,4,2,5,1776,375,2361506.11
301,20200812,38,4,0,5,64,188,2916238.99
302,20200813,38,4,0,9,1140,382,7622731.41
303,20200814,38,4,0,5,1254,32,4141815.78
304,20200815,38,4,0,2,4617,139,4075602.43
305,20200520,26,5,4,20,4085,640,26909849.01
306,20200521,26,5,3,5,2969,19,10975743.13
307,20200520,28,5,1,18,575,1205,19668667.93
308,20200521,28,5,3,5,846,141,3295535.76
309,20200520,30,5,8,15,2772,82,3160018.13
310,20200521,30,5,3,6,727,747,9546631.48
311,20220515,48,6,2,37,633,979,33288690.33
312,20220516,48,6,8,19,24838,3406,25383622.89
313,20220517,48,6,4,15,7126,315,45248472.14
314,20220518,48,6,9,39,7874,1995,15656738.03
315,20220519,48,6,4,26,4800,297,39882570.37
316,20220520,48,6,12,24,15162,1656,46217025.89
317,20220521,48,6,12,35,1382,854,35489681.0
318,20220522,48,6,3,24,13785,873,4312844.9
319,20220523,48,6,11,26,20767,2204,25512274.11
320,20220524,48,6,3,25,6005,223,15372721.83
321,20220525,48,6,3,31,4198,1109,70700690.3
322,20220526,48,6,6,25,1777,2291,7074294.16
323,20220527,48,6,5,25,1536,1021,73923625.27
324,20220528,48,6,5,20,5137,3186,36184581.84
325,20220529,48,6,5,22,4542,1617,18632945.53
326,20220530,48,6,5,30,6885,808,41143266.19
327,20220531,48,6,3,17,3689,242,100036505.52
328,20220601,48,6,7,15,10751,2246,8605395.53
329,20220602,48,6,0,27,4006,508,4500132.57
330,20220603,48,6,1,12,13007,622,23791968.92
331,20220604,48,6,2,16,2573,347,14250223.27
332,20220605,48,6,5,13,4359,1371,6906113.9
333,20220606,48,6,2,20,724,2324,107192839.89
334,20220607,48,6,3,25,4422,1238,8924929.23
335,20220608,48,6,1,15,3395,84,8125820.17
336,20220609,48,6,3,20,1837,1116,6810995.0
337,20220610,48,6,2,18,4032,133,19168096.63
338,20220611,48,6,3,15,481,473,12831644.86
339,20220612,48,6,3,13,3293,1325,13757584.76
340,20220613,48,6,5,10,7386,142,17320132.88
341,20220614,48,6,1,17,8611,1683,12269123.03
342,20220615,48,6,2,8,4023,154,11855828.66
343,20220616,48,6,0,9,1860,651,11430445.66
344,20220617,48,6,1,16,4126,153,12357580.14
345,20220618,48,6,0,9,240,120,13663104.28
346,20220619,48,6,3,10,1181,148,36893646.54
347,20220620,48,6,3,12,219,273,5577601.63
348,20220621,48,6,0,7,2748,289,1030746.56
349,20220622,48,6,3,11,1991,438,10379977.73
350,20220623,48,6,0,6,565,248,5648106.21
351,20220624,48,6,0,2,554,234,5379675.05
352,20220625,48,6,2,9,2272,191,2361334.37
353,20220626,48,6,2,1,1534,360,6121533.53
354,20220627,48,6,1,3,1002,591,5079016.22
355,20220628,48,6,2,10,2696,306,11177881.69
356,20220629,48,6,2,3,545,129,4736907.34
357,20220630,48,6,1,7,8,152,11468806.74
358,20220515,50,6,8,32,410,4366,39873421.78
359,20220516,50,6,10,37,5514,2569,32292311.03
360,20220517,50,6,5,42,3055,1829,12755326.91
361,20220518,50,6,7,35,8409,3705,27699235.47
362,20220519,50,6,7,33,13269,1409,7793277.27
363,20220520,50,6,5,27,7375,171,22325607.16
364,20220521,50,6,7,36,4487,361,36275811.65
365,20220522,50,6,9,30,16449,1061,41525281.17
366,20220523,50,6,7,34,10430,4075,20958030.85
367,20220524,50,6,6,36,8050,2598,17928613.51
368,20220525,50,6,4,21,4648,1395,36178295.48
369,20220526,50,6,4,25,12359,1566,67549914.49
370,20220527,50,6,6,13,12163,3463,8876142.49
371,20220528,50,6,8,19,3795,1381,85491897.0
372,20220529,50,6,6,32,4593,3276,26737400.99
373,20220530,50,6,3,19,4211,1336,12887626.1
374,20220531,50,6,5,26,1633,858,4777893.23
375,20220601,50,6,2,13,6351,378,35612942.66
376,20220602,50,6,4,25,1093,1651,6667318.6
377,20220603,50,6,1,16,1075,901,27649805.79
378,20220604,50,6,6,19,12471,3669,6281101.19
379,20220605,50,6,5,17,13084,1704,6731969.42
380,20220606,50,6,1,14,4876,513,17857017.55
381,20220607,50,6,4,16,1464,1140,58652141.04
382,20220608,50,6,1,17,2695,882,52317759.87
383,20220609,50,6,1,17,8326,521,3388238.85
384,20220610,50,6,5,16,2197,696,16712556.35
385,20220611,50,6,2,15,1398,1190,4841058.08
386,20220612,50,6,3,3,3352,472,7990388.56
387,20220613,50,6,4,15,337,101,5786837.05
388,20220614,50,6,0,10,2714,165,9139439.85
389,20220615,50,6,3,14,3423,1017,12211937.24
390,20220616,50,6,0,7,6546,76,4296036.32
391,20220617,50,6,6,7,2638,694,15926670.65
392,20220618,50,6,0,6,1383,275,1593740.27
393,20220619,50,6,1,11,2248,534,2627387.89
394,20220620,50,6,0,8,2014,447,2528948.85
395,20220621,50,6,1,8,500,638,6973871.91
396,20220622,50,6,2,5,2017,288,4807161.11
397,20220623,50,6,0,4,2235,67,5575383.06
398,20220624,50,6,1,8,633,151,563294.28
399,20220625,50,6,0,6,1758,780,7836046.29
400,20220626,50,6,2,5,1106,191,5588553.25
401,20220627,50,6,1,6,1402,302,7089057.6
402,20220628,50,6,1,3,1203,86,19135382.52
403,20220629,50,6,1,6,834,280,778435.58
404,20220630,50,6,0,4,1666,175,8226648.06
405,20220515,54,6,4,36,15352,4114,22971623.23
406,20220516,54,6,9,35,10052,1498,46174816.23
407,20220517,54,6,11,29,4175,1018,38634275.99
408,20220518,54,6,8,36,7589,1459,69364686.07
409,20220519,54,6,6,21,24562,903,50478778.89
410,20220520,54,6,10,28,6641,1964,10106792.21
411,20220521,54,6,9,30,10246,2865,12624610.4
412,20220522,54,6,5,34,23091,3510,49448442.55
413,20220523,54,6,11,18,11891,2047,48809397.49
414,20220524,54,6,2,29,2980,1940,14440185.02
415,20220525,54,6,5,29,16774,739,19882126.61
416,20220526,54,6,6,27,4010,888,26660435.97
417,20220527,54,6,6,22,9111,75,18273782.04
418,20220528,54,6,2,25,742,354,29997433.67
419,20220529,54,6,6,26,9003,1553,22766039.33
420,20220530,54,6,3,25,4344,570,16536561.65
421,20220531,54,6,4,22,3861,606,2840168.81
422,20220601,54,6,3,17,5565,688,10943002.25
423,20220602,54,6,3,15,2492,624,31514395.3
424,20220603,54,6,3,22,7113,718,1920319.02
425,20220604,54,6,5,17,1054,1084,1956262.7
426,20220605,54,6,1,19,6129,1103,7641560.18
427,20220606,54,6,7,16,3228,431,47808178.47
428,20220607,54,6,3,16,4047,2608,10153412.19
429,20220608,54,6,3,20,1673,552,15140470.38
430,20220609,54,6,4,12,1715,551,8120216.38
431,20220610,54,6,2,15,2483,1397,14308733.45
432,20220611,54,6,3,17,144,1893,7484064.83
433,20220612,54,6,2,21,4688,1104,21041448.73
434,20220613,54,6,4,17,3395,1170,5188908.01
435,20220614,54,6,1,8,5442,690,31263515.99
436,20220615,54,6,1,10,1959,832,26368272.26
437,20220616,54,6,3,13,2303,890,13910049.8
438,20220617,54,6,2,5,479,276,8200835.96
439,20220618,54,6,1,14,3786,394,4165394.41
440,20220619,54,6,1,7,1732,447,2018430.69
441,20220620,54,6,0,6,335,418,8934178.19
442,20220621,54,6,0,10,1298,208,5042535.15
443,20220622,54,6,2,6,1262,250,9295041.81
444,20220623,54,6,1,3,4314,557,12993004.64
445,20220624,54,6,2,6,2046,249,3105069.7
446,20220625,54,6,0,5,439,272,10638649.72
447,20220626,54,6,0,3,556,312,6169821.38
448,20220627,54,6,4,3,2857,114,8079885.82
449,20220628,54,6,1,4,2271,363,1506454.74
450,20220629,54,6,1,10,2741,163,4535991.32
451,20220630,54,6,0,5,632,149,3790071.0
452,20220515,52,6,12,29,7114,1292,28961525.93
453,20220516,52,6,7,33,5792,1474,11536676.6
454,20220517,52,6,7,36,7514,1982,41968851.72
455,20220518,52,6,4,28,3406,2235,36736862.18
456,20220519,52,6,3,30,7047,1194,36702867.41
457,20220520,52,6,7,23,22509,1098,79400548.47
458,20220521,52,6,14,30,11985,1033,22000253.27
459,20220522,52,6,5,27,4326,1255,42207204.07
460,20220523,52,6,8,25,12158,6185,47940960.14
461,20220524,52,6,4,27,2824,2050,18373815.41
462,20220525,52,6,3,29,5158,2533,12727943.69
463,20220526,52,6,2,29,6952,426,66827732.79
464,20220527,52,6,3,21,18919,503,26958814.51
465,20220528,52,6,8,25,28629,1212,10435228.32
466,20220529,52,6,5,16,9605,972,24700811.95
467,20220530,52,6,3,33,4658,126,21108361.83
468,20220531,52,6,4,24,6145,227,8428092.59
469,20220601,52,6,3,12,9756,958,69279677.82
470,20220602,52,6,7,10,5880,1044,24609252.16
471,20220603,52,6,1,16,4692,897,33045911.98
472,20220604,52,6,3,11,2304,2891,30757146.92
473,20220605,52,6,7,18,3706,881,22892354.46
474,20220606,52,6,1,9,8709,200,13047368.65
475,20220607,52,6,3,9,1733,1418,26267955.47
476,20220608,52,6,2,25,3014,178,4327220.08
477,20220609,52,6,8,16,1161,421,26122541.69
478,20220610,52,6,4,8,3267,59,9862153.61
479,20220611,52,6,1,12,725,267,13115896.89
480,20220612,52,6,3,14,6177,541,4125198.5
481,20220613,52,6,2,8,9705,963,11840051.04
482,20220614,52,6,4,7,3963,923,31921785.43
483,20220615,52,6,6,11,718,1107,18840213.99
484,20220616,52,6,3,12,2319,454,5413320.49
485,20220617,52,6,1,6,1278,507,4423353.48
486,20220618,52,6,4,13,4364,313,2722890.81
487,20220619,52,6,2,10,265,450,2370111.89
488,20220620,52,6,1,10,2074,562,2843651.35
489,20220621,52,6,1,7,2591,1043,10384973.64
490,20220622,52,6,2,7,679,287,2386173.17
491,20220623,52,6,1,3,1138,141,2672099.28
492,20220624,52,6,2,6,580,86,8563676.39
493,20220625,52,6,0,3,1597,82,12180180.14
494,20220626,52,6,2,6,1474,375,3490382.23
495,20220627,52,6,1,6,2207,61,990628.3
496,20220628,52,6,3,4,982,389,10185052.01
497,20220629,52,6,1,7,835,193,2973020.51
498,20220630,52,6,0,5,1953,43,1132061.06
499,20230514,10,7,4,5,2719,789,10684178.58
500,20230515,10,7,2,4,1849,213,4704357.4
501,20230514,8,7,3,7,3616,399,7666120.86
502,20230515,8,7,0,3,883,262,489700.03
503,20240821,14,8,7,45,4940,523,21531731.06
504,20240822,14,8,9,29,6516,3827,78141491.14
505,20240823,14,8,5,33,1905,919,18869161.61
506,20240824,14,8,7,32,6918,492,114015023.68
507,20240825,14,8,6,24,9139,1871,7253452.96
508,20240826,14,8,6,18,947,1435,9304158.21
509,20240827,14,8,4,22,3949,724,39174301.68
510,20240828,14,8,6,27,8143,207,15950109.93
511,20240829,14,8,5,22,5308,130,3057440.36
512,20240830,14,8,3,30,682,600,7427467.98
513,20240831,14,8,3,22,6699,667,10798331.22
514,20240901,14,8,4,12,6435,599,9974756.99
515,20240902,14,8,3,8,897,2607,29450918.59
516,20240903,14,8,2,16,1715,972,10814616.62
517,20240904,14,8,2,10,2411,98,4778029.3
518,20240905,14,8,2,8,1247,983,2950500.29
519,20240906,14,8,0,7,1860,57,4643499.57
520,20240907,14,8,1,7,601,409,1944501.85
521,20240908,14,8,1,5,1198,277,8295133.44
522,20240909,14,8,2,3,202,417,6390510.3
523,20240910,14,8,2,3,3073,655,13964373.14
524,20240821,12,8,9,35,5029,748,18263927.58
525,20240822,12,8,4,43,5197,1923,53580930.49
526,20240823,12,8,11,37,11971,56,35558839.13
527,20240824,12,8,7,33,5389,802,2222575.81
528,20240825,12,8,3,28,2161,1285,84629707.61
529,20240826,12,8,5,20,4213,2240,34838411.14
530,20240827,12,8,4,14,4873,882,16479236.33
531,20240828,12,8,2,20,4397,1147,15579418.23
532,20240829,12,8,5,20,1501,909,3962096.81
533,20240830,12,8,3,31,8221,1395,6897421.14
534,20240831,12,8,1,7,2248,1477,338470.43
535,20240901,12,8,3,18,2980,311,6231735.15
536,20240902,12,8,3,16,3577,375,13077058.33
537,20240903,12,8,0,14,2480,285,3154839.95
538,20240904,12,8,2,15,9415,534,8124348.59
539,20240905,12,8,1,13,2210,181,20874391.09
540,20240906,12,8,3,3,2113,201,14633674.95
541,20240907,12,8,3,5,2444,260,3503899.35
542,20240908,12,8,1,3,1759,69,10157736.97
543,20240909,12,8,2,6,2156,203,1948256.14
544,20240910,12,8,1,6,1037,218,5919923.07
545,20240821,16,8,12,30,7233,370,123563881.5
546,20240822,16,8,4,29,1504,3334,35103792.1
547,20240823,16,8,9,32,11741,2664,38317956.48
548,20240824,16,8,3,20,11186,591,24628128.14
549,20240825,16,8,7,27,3040,2189,17620950.55
550,20240826,16,8,6,28,7003,2236,34559884.23
551,20240827,16,8,5,21,5039,626,5632988.03
552,20240828,16,8,5,19,3045,1625,46582956.22
553,20240829,16,8,7,20,4439,500,7007691.0
