fact_key,time_key,donor_key,disaster_key,organization_key,donation_amount_bdt,in_kind_value_bdt
194,20170404,10,3,1,81707.86,0
195,20170411,1,3,3,0,553565.07
196,20170420,3,3,4,0,84059.12
197,20170427,10,3,4,12716.94,0
198,20170421,11,3,2,0,162881.07
199,20170407,2,3,1,108934.08,0
200,20170409,1,3,3,105728.52,0
201,20170410,1,3,7,49039.15,0
202,20170423,5,3,6,0,141021.98
203,20170409,7,3,4,0,200950.59
204,20170426,2,3,6,32831.6,0
205,20170407,10,3,2,64331.63,0
206,20170410,5,3,1,74326.93,0
207,20170430,4,3,7,86142.6,0
208,20170405,6,3,4,126602.98,0
209,20170404,11,3,6,211748.02,0
210,20170419,5,3,6,84658.22,0
211,20170409,4,3,1,20011.41,0
212,20170428,7,3,1,60929.18,0
213,20170415,10,3,1,97084.31,0
214,20170508,12,3,6,0,128713.89
215,20170420,2,3,1,0,42223.61
216,20170413,12,3,1,125843.1,0
217,20170502,6,3,5,63718.09,0
218,20170410,12,3,3,85247.54,0
219,20170411,3,3,6,0,194126.55
220,20170510,5,3,6,0,144715.05
221,20170505,1,3,3,0,103039.64
222,20170416,5,3,5,274328.25,0
223,20170407,12,3,5,73174.79,0
224,20170423,8,3,4,104838.37,0
225,20170429,1,3,4,0,38964.71
226,20170416,3,3,3,26406.59,0
227,20170409,2,3,5,46498.37,0
228,20170416,2,3,2,0,119574.65
229,20170415,1,3,1,0,204178.15
230,20170409,1,3,2,16283.43,0
231,20170504,6,3,4,0,5855.27
232,20170404,3,3,7,485981.75,0
233,20170424,12,3,6,67754.42,0
234,20170505,4,3,3,103880.13,0
235,20170414,12,3,3,68881.94,0
236,20170428,2,3,5,5538.1,0
237,20170418,9,3,6,0,99415.88
238,20170501,3,3,2,0,282810.53
239,20170418,1,3,4,215364.18,0
240,20170405,8,3,7,4262.46,0
241,20170405,5,3,3,135756.57,0
242,20170407,8,3,1,85528.89,0
243,20170410,5,3,5,0,163041.83
244,20170508,12,3,5,50436.94,0
245,20170403,6,3,5,0,24388.75
246,20170416,4,3,6,0,110373.54
247,20170501,4,3,2,75847.95,0
248,20170409,7,3,1,95805.58,0
249,20170413,6,3,6,0,94487.6
250,20170408,1,3,3,108670.56,0
251,20170414,11,3,4,0,44001.48
252,20170427,12,3,3,451083.73,0
253,20200725,8,4,6,138222.78,0
254,20200708,3,4,2,239082.36,0
255,20200802,1,4,5,167072.28,0
256,20200904,2,4,2,57294.09,0
257,20200821,9,4,3,168660.53,0
258,20200731,12,4,7,316439.69,0
259,20200815,4,4,2,334030.15,0
260,20200726,10,4,3,318648.76,0
261,20200715,1,4,2,87597.79,0
262,20200805,11,4,1,56918.78,0
263,20200707,1,4,1,307651.56,0
264,20200812,3,4,6,248934.01,0
265,20200715,10,4,6,0,264179.74
266,20200715,12,4,4,279277.96,0
267,20200706,5,4,3,0,225104.54
268,20200727,12,4,7,152304.82,0
269,20200726,9,4,1,0,150652.4
270,20200806,8,4,5,223981.36,0
271,20200821,12,4,4,142701.15,0
272,20200822,5,4,6,158750.97,0
273,20200826,8,4,4,382921.58,0
274,20200826,4,4,2,0,412809.67
275,20200715,10,4,3,0,686642.57
276,20200716,7,4,2,225027.73,0
277,20200714,11,4,3,0,187529.86
278,20200723,6,4,4,331925.56,0
279,20200803,2,4,4,127885.41,0
280,20200725,8,4,4,0,35144.39
281,20200724,5,4,7,103463.85,0
282,20200707,10,4,2,227895.57,0
283,20200711,7,4,7,0,1380416.52
284,20200706,2,4,3,561555.73,0
285,20200726,2,4,7,580710.64,0
286,20200728,8,4,4,185374.49,0
287,20200723,4,4,5,120551.34,0
288,20200807,3,4,4,302631.82,0
289,20200814,6,4,2,0,369521.16
290,20200727,10,4,4,0,210683.95
291,20200731,7,4,5,0,573563.75
292,20200728,9,4,6,114952.59,0
293,20200808,11,4,6,130816.93,0
294,20200722,12,4,5,0,150026.37
295,20200728,2,4,5,225891.3,0
296,20200812,6,4,5,213350.46,0
297,20200706,8,4,2,33466.55,0
298,20200831,7,4,1,315156.29,0
299,20200809,11,4,7,129593.32,0
300,20200717,7,4,3,243200.09,0
301,20200706,11,4,1,366913.15,0
302,20200807,3,4,5,0,349121.31
303,20200808,11,4,7,248668.75,0
304,20200721,3,4,6,225062.24,0
305,20200706,9,4,3,307733.83,0
306,20200727,10,4,4,82828.97,0
307,20200710,11,4,3,98420.07,0
308,20200724,11,4,3,0,105272.64
309,20200720,7,4,6,0,349969.94
310,20200810,6,4,1,273447.79,0
311,20200907,10,4,5,52727.29,0
312,20200728,3,4,7,354515.53,0
313,20200805,6,4,5,0,460502.57
314,20200730,1,4,6,365092.57,0
315,20200808,6,4,1,0,391204.47
316,20200718,1,4,2,186088.88,0
317,20200911,10,4,4,61554.32,0
318,20200812,12,4,4,360227.19,0
319,20200805,7,4,5,122225.03,0
320,20200727,3,4,4,406839.55,0
321,20200822,9,4,4,0,189541.05
322,20200712,6,4,7,314066.81,0
323,20200710,5,4,7,29306.04,0
324,20200815,3,4,1,100462.89,0
325,20200802,1,4,2,0,39618.31
326,20200711,8,4,6,135352.23,0
327,20200908,3,4,1,282340.8,0
328,20200722,7,4,7,86273.09,0
329,20200720,12,4,5,0,311699.96
330,20200812,10,4,2,78720.81,0
331,20200807,7,4,5,0,42448.08
332,20200726,7,4,3,55985.37,0
333,20200723,7,4,5,305810.72,0
334,20200709,8,4,7,0,428344.2
335,20200706,12,4,5,81213.87,0
336,20200818,9,4,5,493963.44,0
337,20200717,1,4,5,188915.46,0
338,20200730,6,4,1,122238.89,0
339,20200708,12,4,1,453974.33,0
340,20200706,12,4,5,0,370391.94
341,20200731,5,4,4,345035.9,0
342,20200803,9,4,5,321132.44,0
343,20200720,8,4,6,0,309292.96
344,20200712,11,4,1,90013.89,0
345,20200730,9,4,7,239679.73,0
346,20200717,10,4,1,0,94030.17
347,20200811,9,4,7,282154.58,0
348,20200719,8,4,5,0,495182.31
349,20200719,10,4,6,253590.6,0
350,20200721,6,4,7,28560.06,0
351,20200818,3,4,1,14038.41,0
352,20200720,10,4,6,242037.14,0
353,20200808,10,4,3,144740.66,0
354,20200718,8,4,5,132259.97,0
355,20200812,1,4,6,0,298376.07
356,20200712,12,4,5,19297.38,0
357,20200727,8,4,1,447818.7,0
358,20200820,2,4,7,0,243973.01
359,20200731,5,4,2,208501.37,0
360,20200809,5,4,7,213289.13,0
361,20200727,12,4,1,256941.87,0
362,20200714,10,4,6,119445.95,0
363,20200730,8,4,3,0,300857.56
364,20200807,5,4,7,0,798881.88
365,20200731,8,4,2,0,247240.9
366,20200702,1,4,3,0,537334.9
367,20200704,3,4,5,0,744256.72
368,20200714,3,4,7,186076.16,0
369,20200714,7,4,7,301035.26,0
370,20200823,11,4,4,0,770756.9
371,20200907,3,4,2,344769.45,0
372,20200713,6,4,1,385831.01,0
373,20200803,2,4,1,576074.92,0
374,20200707,7,4,4,115862.75,0
375,20200807,12,4,7,0,124580.49
376,20200719,4,4,4,252224.63,0
377,20200712,7,4,4,267828.15,0
378,20200712,9,4,7,400464.32,0
379,20200710,5,4,7,61858.87,0
380,20200716,11,4,3,0,460745.28
381,20200804,11,4,1,321953.91,0
382,20200724,9,4,6,111977.64,0
383,20200713,7,4,5,0,565249.08
384,20200725,5,4,3,326365.16,0
385,20200524,2,5,2,0,383628.43
386,20200531,8,5,1,167499.58,0
387,20200527,3,5,3,0,121050.47
388,20200527,2,5,1,110973.18,0
389,20200530,2,5,6,41963.0,0
390,20200529,3,5,7,102205.18,0
391,20200522,11,5,1,225784.04,0
392,20200528,11,5,5,0,253798.75
393,20200601,8,5,3,77785.58,0
394,20200530,12,5,6,22044.18,0
395,20200522,4,5,1,52965.58,0
396,20200527,4,5,7,0,123764.76
397,20200524,11,5,3,99209.11,0
398,20200527,6,5,6,65382.85,0
399,20200526,6,5,4,90903.88,0
400,20200530,12,5,5,0,41788.69
401,20200525,8,5,4,85996.03,0
402,20200531,3,5,7,83218.29,0
403,20200525,5,5,2,124393.8,0
404,20200527,5,5,7,0,286506.26
405,20200602,3,5,3,71236.28,0
406,20200527,3,5,5,0,117459.97
407,20200528,12,5,5,116097.58,0
408,20200529,3,5,7,0,153859.18
409,20200526,11,5,7,148999.81,0
410,20200527,4,5,1,146593.53,0
411,20200525,6,5,5,113339.19,0
412,20200530,5,5,3,46917.6,0
413,20200527,9,5,6,59798.76,0
414,20200530,6,5,3,41672.48,0
415,20200601,8,5,5,0,73807.36
416,20200529,9,5,3,126365.5,0
417,20200524,1,5,4,0,90754.99
418,20200531,3,5,4,0,80053.43
419,20200603,3,5,1,0,50502.48
420,20200528,9,5,5,162543.37,0
421,20200529,12,5,3,176102.86,0
422,20200524,5,5,7,0,32834.04
423,20200527,10,5,6,18724.57,0
424,20200528,10,5,6,0,387056.68
425,20200603,8,5,3,24886.85,0
426,20200528,12,5,4,0,83188.16
427,20200527,3,5,6,70344.42,0
428,20200530,5,5,1,66107.58,0
429,20200525,4,5,4,153653.38,0
430,20200528,6,5,1,164994.88,0
431,20200527,4,5,5,109898.06,0
432,20200531,5,5,2,109402.22,0
433,20200526,9,5,7,80911.21,0
434,20200527,11,5,1,0,314308.49
435,20200529,7,5,2,26882.09,0
436,20200531,10,5,5,40253.04,0
437,20200528,1,5,6,118554.91,0
438,20200604,3,5,6,0,209839.93
439,20200604,6,5,4,136900.79,0
440,20200527,5,5,3,4411.25,0
441,20200607,8,5,7,183193.27,0
442,20200527,4,5,6,0,118705.34
443,20200604,12,5,4,0,268335.99
444,20200530,5,5,2,0,209184.53
445,20220607,4,6,6,152155.42,0
446,20220526,8,6,6,0,147267.09
447,20220622,3,6,3,246866.18,0
448,20220608,1,6,5,0,348459.26
449,20220708,7,6,6,0,456825.8
450,20220625,1,6,2,0,422468.51
451,20220517,6,6,3,208778.16,0
452,20220702,9,6,1,0,207156.06
453,20220517,11,6,2,0,122272.65
454,20220614,12,6,6,281519.1,0
455,20220605,7,6,5,276745.91,0
456,20220607,8,6,6,286463.05,0
457,20220518,8,6,1,0,355908.45
458,20220718,1,6,6,0,386640.62
459,20220707,4,6,2,394191.93,0
460,20220621,10,6,5,0,153649.01
461,20220527,4,6,2,375679.62,0
462,20220705,7,6,6,67581.51,0
463,20220704,3,6,6,288511.3,0
464,20220516,7,6,2,90902.0,0
465,20220607,5,6,3,319009.57,0
466,20220710,11,6,2,162840.99,0
467,20220714,8,6,1,0,495850.4
468,20220612,6,6,4,270063.29,0
469,20220529,8,6,4,470267.08,0
470,20220609,10,6,6,317979.79,0
471,20220520,3,6,7,0,943072.68
472,20220623,8,6,1,0,294682.9
473,20220628,7,6,7,275390.65,0
474,20220602,5,6,5,123713.34,0
475,20220702,9,6,6,239336.54,0
476,20220710,7,6,4,75996.56,0
477,20220616,5,6,4,151619.43,0
478,20220713,8,6,1,142431.77,0
479,20220628,12,6,4,118708.39,0
480,20220620,4,6,1,142440.44,0
481,20220704,9,6,6,0,1038866.27
482,20220523,8,6,4,0,595492.54
483,20220526,7,6,6,337690.58,0
484,20220523,8,6,3,537929.38,0
485,20220606,10,6,1,381333.12,0
486,20220615,1,6,1,68076.84,0
487,20220522,10,6,2,182087.97,0
488,20220623,7,6,3,0,237403.87
489,20220601,12,6,3,198545.32,0
490,20220611,8,6,6,346922.33,0
491,20220619,12,6,1,100576.85,0
492,20220611,7,6,6,12407.08,0
493,20220629,8,6,1,0,58971.02
494,20220616,6,6,6,0,216370.16
495,20220517,1,6,6,31137.29,0
496,20220604,3,6,3,96701.63,0
497,20220613,11,6,2,187562.8,0
498,20220525,10,6,5,0,492263.43
499,20220522,3,6,1,143453.91,0
500,20220711,2,6,6,0,189810.31
501,20220608,7,6,4,0,156831.29
502,20220619,2,6,5,0,387946.75
503,20220605,7,6,2,0,312339.81
504,20220626,5,6,6,512218.48,0
505,20220613,9,6,6,0,663927.22
506,20220618,10,6,3,0,861633.28
507,20220624,12,6,7,153187.34,0
508,20220718,11,6,5,0,188325.2
509,20220609,6,6,7,147594.94,0
510,20220526,12,6,2,0,110205.04
511,20220624,7,6,6,492230.73,0
512,20220601,3,6,7,37642.6,0
513,20220703,2,6,1,0,1098813.68
514,20220520,7,6,5,128871.71,0
515,20220616,5,6,6,69266.13,0
516,20220616,3,6,3,210247.31,0
517,20220611,3,6,2,267724.6,0
518,20220702,9,6,1,78409.56,0
519,20220608,4,6,2,25923.61,0
520,20220518,12,6,2,0,117838.63
521,20220616,4,6,3,0,333790.86
522,20220529,7,6,4,361731.14,0
523,20220611,10,6,1,0,709349.32
524,20220527,3,6,1,76625.22,0
525,20220523,7,6,1,169221.36,0
526,20220628,6,6,1,182166.74,0
527,20220713,8,6,4,191555.46,0
528,20220606,2,6,1,207027.2,0
529,20220525,1,6,6,112315.03,0
530,20220518,1,6,1,109460.68,0
531,20220620,1,6,4,217615.78,0
532,20220608,5,6,4,498443.71,0
533,20220602,6,6,5,50136.88,0
534,20220604,6,6,6,0,487015.47
535,20220524,6,6,7,299918.48,0
536,20220519,6,6,6,128191.98,0
537,20220529,10,6,1,0,248763.97
538,20220616,6,6,7,112328.55,0
539,20220615,8,6,7,61383.85,0
540,20220616,12,6,7,0,422178.34
541,20220515,3,6,1,471613.63,0
542,20220627,9,6,3,0,198689.52
543,20220627,4,6,3,216401.09,0
544,20220525,11,6,6,0,662820.46
545,20220612,9,6,4,233424.81,0
546,20220612,1,6,6,0,684137.39
547,20220526,6,6,1,473974.84,0
548,20220517,1,6,7,0,753417.74
549,20220612,11,6,4,403742.09,0
550,20220527,8,6,4,0,542245.0
551,20220614,2,6,3,172264.61,0
552,20220520,8,6,6,0,95529.16
553,20220523,2,6,6,104254.03,0
554,20220604,10,6,2,0,546126.72
555,20220602,9,6,5,0,47636.78
556,20220703,12,6,5,214347.51,0
557,20220615,8,6,7,211043.35,0
558,20220624,11,6,5,0,122643.17
559,20220623,8,6,2,0,323414.73
560,20220524,2,6,4,80191.21,0
561,20220522,4,6,2,71503.68,0
562,20220524,11,6,6,343771.76,0
563,20220517,7,6,6,72581.56,0
564,20220518,6,6,4,0,353081.65
565,20220627,4,6,6,121177.26,0
566,20220701,8,6,6,119725.37,0
567,20220625,3,6,5,102475.51,0
568,20220523,8,6,1,0,163797.67
569,20220521,6,6,7,213073.42,0
570,20220618,10,6,7,0,75204.14
571,20220626,2,6,6,229818.99,0
572,20220618,12,6,6,0,233958.79
573,20220522,7,6,6,32323.47,0
574,20220709,9,6,7,79936.26,0
575,20220525,4,6,2,422001.69,0
576,20220612,5,6,1,100874.94,0
577,20230523,10,7,4,99927.8,0
578,20230521,5,7,6,89757.08,0
579,20230517,1,7,4,0,20820.32
580,20230601,8,7,1,21282.51,0
581,20230528,10,7,4,37264.91,0
582,20230520,6,7,1,35807.55,0
583,20230606,12,7,2,32737.11,0
584,20230525,1,7,1,115796.15,0
585,20230528,4,7,1,161867.73,0
586,20230518,3,7,4,85606.18,0
587,20230526,8,7,1,39756.62,0
588,20230519,11,7,3,105873.38,0
589,20230521,7,7,3,43474.25,0
590,20230518,7,7,2,64986.92,0
591,20230531,5,7,1,0,153443.86
592,20230517,11,7,7,30394.84,0
593,20230519,3,7,3,0,105133.6
594,20230521,1,7,3,0,26726.61
595,20230601,12,7,2,22059.96,0
596,20230515,5,7,1,95618.09,0
597,20230523,7,7,6,12051.14,0
598,20230520,1,7,2,53418.75,0
599,20230520,8,7,6,0,21433.08
600,20230522,2,7,4,37565.24,0
601,20230515,8,7,7,13995.59,0
602,20230522,3,7,3,0,72672.11
603,20230603,7,7,5,0,210550.29
604,20230602,12,7,7,0,89487.58
605,20230530,3,7,1,0,67442.26
606,20230603,1,7,2,88408.51,0
607,20230521,9,7,1,0,45613.01
608,20230524,4,7,1,98810.04,0
609,20230530,6,7,4,0,194557.62
610,20230524,12,7,1,43262.85,0
611,20230521,5,7,3,36844.01,0
612,20230520,7,7,2,70589.65,0
613,20240830,8,8,3,311033.96,0
614,20240930,7,8,4,38968.0,0
615,20240831,2,8,4,169923.52,0
616,20240926,7,8,2,127236.42,0
617,20240830,8,8,1,106732.56,0
618,20240912,1,8,5,60941.16,0
619,20240909,11,8,6,0,140797.11
620,20240918,10,8,4,96243.68,0
621,20240917,6,8,2,185513.53,0
622,20240826,12,8,4,179831.25,0
623,20240905,3,8,3,274462.85,0
624,20240829,9,8,2,361094.18,0
625,20240826,12,8,5,366569.67,0
626,20240921,2,8,2,80051.1,0
627,20240901,6,8,6,0,845762.5
628,20240822,6,8,4,0,163538.25
629,20240825,3,8,3,0,340500.32
630,20240825,11,8,3,0,801860.75
631,20240918,2,8,7,193910.21,0
632,20240824,7,8,4,361159.81,0
633,20240830,3,8,5,0,330853.96
634,20240822,9,8,7,129314.53,0
635,20240914,5,8,2,113294.57,0
636,20240907,10,8,5,148423.13,0
637,20240903,10,8,7,462652.06,0
638,20240912,1,8,1,0,135658.05
639,20240911,3,8,2,26846.96,0
640,20240918,2,8,4,0,80861.09
641,20240829,8,8,3,0,355818.67
642,20240823,12,8,7,376364.12,0
643,20240911,3,8,6,0,274184.94
644,20240915,7,8,1,85084.51,0
645,20240907,5,8,1,214780.89,0
646,20240828,12,8,1,262570.37,0
647,20240907,6,8,5,293996.08,0
648,20240823,1,8,2,75984.12,0
649,20240828,12,8,4,123767.19,0
650,20240822,11,8,5,380103.75,0
651,20240910,4,8,3,85356.88,0
652,20240830,11,8,3,160640.5,0
653,20240930,12,8,2,142630.11,0
654,20240825,9,8,7,0,184082.64
655,20240824,2,8,5,247125.54,0
656,20240823,11,8,1,271045.14,0
657,20240828,3,8,1,126343.97,0
658,20240902,7,8,5,248833.75,0
659,20240831,2,8,3,124369.39,0
660,20240928,12,8,6,82381.94,0
661,20240829,8,8,2,0,294933.97
662,20240924,10,8,7,177820.8,0
663,20240909,6,8,3,70940.73,0
664,20240827,9,8,7,195374.67,0
665,20240902,2,8,4,392388.6,0
666,20241003,7,8,7,415231.73,0
667,20240826,2,8,2,0,98384.69
668,20240921,5,8,1,79992.77,0
669,20240926,4,8,1,256836.93,0
670,20240920,6,8,1,224463.19,0
671,20240824,5,8,7,165262.94,0
672,20240827,12,8,3,155386.93,0
673,20240901,3,8,3,43624.02,0
674,20240827,10,8,2,0,305997.22
675,20240914,10,8,5,135820.32,0
676,20240925,10,8,1,152379.11,0
677,20240913,2,8,5,180635.89,0
678,20240914,5,8,6,84869.2,0
679,20240829,6,8,4,127621.38,0
680,20240906,6,8,7,802982.58,0
681,20241006,4,8,5,0,181847.17
682,20240904,6,8,7,59712.48,0
683,20240902,1,8,2,396744.48,0
684,20240913,10,8,5,0,555958.73
685,20240911,1,8,3,0,385051.13
686,20240908,7,8,5,0,77393.02
687,20240920,2,8,5,248103.95,0
688,20240904,3,8,3,0,294976.24
689,20240920,2,8,1,313839.91,0
690,20240829,4,8,6,321074.14,0
691,20240901,8,8,3,0,519216.38
692,20240920,4,8,1,0,497559.02
693,20240918,1,8,7,0,263326.16
694,20240903,4,8,5,200917.56,0
695,20240901,7,8,6,99790.4,0
696,20240905,1,8,5,112208.91,0
697,20240905,7,8,7,475276.95,0
698,20240919,3,8,4,0,198414.76
699,20240826,9,8,2,54955.0,0
700,20240830,2,8,5,0,38554.98
701,20240911,6,8,3,493003.76,0
702,20240910,7,8,1,5479.4,0
703,20240911,2,8,5,1005320.77,0
704,20240903,7,8,6,0,852717.07
705,20240826,9,8,5,490028.14,0
706,20240913,1,8,7,0,787566.69
707,20240922,1,8,1,254911.67,0
708,20240901,8,8,2,120003.57,0
709,20240828,6,8,3,290767.65,0
710,20240903,4,8,3,296802.15,0
711,20240929,7,8,4,74038.6,0
712,20240912,11,8,1,386296.49,0
713,20240918,9,8,2,115779.65,0
714,20240826,12,8,7,212867.27,0
715,20240913,4,8,4,0,474829.45
716,20240910,6,8,7,224378.33,0
717,20240827,11,8,2,114350.88,0
718,20240925,5,8,3,210605.02,0
719,20240912,9,8,1,221124.36,0
720,20240925,7,8,6,0,376567.71
721,20240908,8,8,3,267008.28,0
722,20241002,3,8,7,0,1104303.15
723,20240911,4,8,3,0,185910.79
724,20240911,4,8,1,23971.7,0
725,20240926,3,8,1,0,326051.23
726,20240826,12,8,4,242449.08,0
727,20240905,8,8,1,203366.69,0
728,20240827,1,8,3,105963.34,0
729,20240902,7,8,3,0,20570.14
730,20240828,2,8,1,386139.69,0
731,20240901,10,8,4,109950.98,0
