fact_key,time_key,location_key,organization_key,disaster_key,shelter_key,personnel_deployed,vehicles_deployed,shelter_capacity,shelter_occupancy
227,20170513,48,3,3,,2,1,,
228,20170513,48,1,3,58,4,0,300,62
229,20200701,34,7,4,28,102,2,1000,1177
230,20200704,34,1,4,28,9,18,1000,388
231,20200704,34,6,4,,89,21,,
232,20200707,34,3,4,,1,21,,
233,20200707,34,6,4,29,183,15,500,458
234,20200710,34,4,4,,77,4,,
235,20200710,34,5,4,28,8,15,1000,693
236,20200710,34,3,4,,143,4,,
237,20200713,34,5,4,28,92,8,1000,756
238,20200713,34,7,4,28,37,3,1000,527
239,20200713,34,4,4,,18,9,,
240,20200716,34,7,4,,181,10,,
241,20200716,34,1,4,,17,3,,
242,20200716,34,3,4,,10,13,,
243,20200719,34,4,4,29,46,7,500,170
244,20200719,34,6,4,29,17,15,500,165
245,20200722,34,2,4,,60,1,,
246,20200722,34,5,4,,7,3,,
247,20200725,34,4,4,,43,17,,
248,20200728,34,6,4,29,22,11,500,374
249,20200728,34,2,4,,31,6,,
250,20200731,34,1,4,,45,10,,
251,20200731,34,3,4,29,74,1,500,132
252,20200803,34,7,4,,22,3,,
253,20200803,34,6,4,,56,9,,
254,20200806,34,2,4,29,39,1,500,215
255,20200809,34,3,4,28,24,14,1000,583
256,20200809,34,6,4,28,58,9,1000,519
257,20200812,34,6,4,,23,0,,
258,20200812,34,4,4,,15,3,,
259,20200815,34,5,4,,44,1,,
260,20200818,34,3,4,,89,3,,
261,20200821,34,2,4,,16,2,,
262,20200821,34,5,4,28,14,7,1000,302
263,20200824,34,7,4,28,26,2,1000,191
264,20200827,34,1,4,,18,4,,
265,20200827,34,3,4,29,11,10,500,86
266,20200830,34,4,4,,10,2,,
267,20200830,34,6,4,29,22,4,500,109
268,20200830,34,1,4,28,7,7,1000,135
269,20200902,34,5,4,28,23,0,1000,166
270,20200902,34,7,4,,10,1,,
271,20200905,34,6,4,28,40,7,1000,153
272,20200905,34,7,4,28,52,2,1000,104
273,20200908,34,7,4,,14,0,,
274,20200908,34,2,4,,43,1,,
275,20200908,34,6,4,29,34,1,500,113
276,20200911,34,1,4,28,7,1,1000,128
277,20200911,34,6,4,,8,2,,
278,20200911,34,7,4,,14,2,,
279,20200914,34,2,4,29,7,3,500,104
280,20200701,44,5,4,35,108,7,500,537
281,20200701,44,2,4,,23,6,,
282,20200701,44,6,4,,76,9,,
283,20200704,44,4,4,,24,3,,
284,20200704,44,7,4,,37,17,,
285,20200704,44,5,4,34,200,5,150,168
286,20200707,44,4,4,35,10,8,500,314
287,20200707,44,2,4,,55,7,,
288,20200710,44,5,4,,20,21,,
289,20200710,44,3,4,,116,7,,
290,20200710,44,7,4,,191,18,,
291,20200713,44,2,4,,73,20,,
292,20200713,44,7,4,34,144,7,150,147
293,20200713,44,6,4,,115,12,,
294,20200716,44,6,4,,11,1,,
295,20200719,44,5,4,35,100,10,500,478
296,20200722,44,6,4,,91,9,,
297,20200722,44,1,4,35,56,11,500,429
298,20200725,44,6,4,,58,7,,
299,20200725,44,7,4,,94,6,,
300,20200725,44,4,4,34,16,13,150,42
301,20200728,44,5,4,34,75,21,150,91
302,20200731,44,1,4,,71,16,,
303,20200803,44,3,4,,19,2,,
304,20200806,44,3,4,,29,12,,
305,20200809,44,7,4,34,53,10,150,51
306,20200812,44,7,4,34,58,4,150,78
307,20200815,44,1,4,,21,6,,
308,20200815,44,5,4,,24,5,,
309,20200818,44,6,4,,3,4,,
310,20200821,44,2,4,,19,9,,
311,20200821,44,5,4,,5,3,,
312,20200824,44,6,4,34,39,2,150,42
313,20200824,44,7,4,35,2,4,500,149
314,20200827,44,5,4,34,13,3,150,27
315,20200827,44,1,4,34,15,0,150,24
316,20200830,44,6,4,,23,4,,
317,20200902,44,3,4,,16,1,,
318,20200902,44,5,4,35,40,3,500,58
319,20200902,44,6,4,,21,2,,
320,20200905,44,4,4,,21,3,,
321,20200905,44,2,4,33,47,3,150,20
322,20200908,44,5,4,34,7,4,150,30
323,20200908,44,1,4,33,10,0,150,12
324,20200908,44,4,4,34,21,0,150,20
325,20200911,44,3,4,33,21,3,150,20
326,20200914,44,2,4,,6,2,,
327,20200701,46,7,4,,271,22,,
328,20200701,46,6,4,37,72,28,300,122
329,20200704,46,7,4,,230,11,,
330,20200704,46,5,4,,3,10,,
331,20200707,46,2,4,36,52,13,300,236
332,20200710,46,7,4,37,31,1,300,207
333,20200713,46,1,4,37,148,7,300,283
334,20200716,46,5,4,37,82,26,300,238
335,20200719,46,5,4,36,108,2,300,150
336,20200719,46,6,4,,25,3,,
337,20200722,46,6,4,36,48,3,300,259
338,20200725,46,7,4,,29,5,,
339,20200728,46,3,4,,80,5,,
340,20200728,46,2,4,36,10,12,300,186
341,20200728,46,1,4,,47,10,,
342,20200731,46,1,4,,22,10,,
343,20200731,46,3,4,,35,4,,
344,20200731,46,2,4,37,43,5,300,157
345,20200803,46,3,4,36,19,4,300,173
346,20200803,46,6,4,36,37,7,300,70
347,20200806,46,5,4,37,11,6,300,168
348,20200809,46,7,4,36,47,5,300,129
349,20200809,46,3,4,37,46,4,300,183
350,20200812,46,1,4,36,33,2,300,77
351,20200812,46,3,4,37,12,5,300,104
352,20200812,46,2,4,36,26,3,300,107
353,20200815,46,3,4,37,68,14,300,153
354,20200815,46,5,4,,12,4,,
355,20200815,46,6,4,36,39,2,300,93
356,20200818,46,7,4,,29,7,,
357,20200818,46,4,4,,15,3,,
358,20200821,46,4,4,36,28,4,300,93
359,20200824,46,6,4,,32,3,,
360,20200824,46,2,4,37,6,6,300,83
361,20200827,46,3,4,37,25,9,300,48
362,20200827,46,5,4,36,16,0,300,30
363,20200830,46,6,4,,11,2,,
364,20200830,46,7,4,36,11,3,300,36
365,20200902,46,3,4,37,8,1,300,58
366,20200902,46,7,4,36,8,3,300,28
367,20200905,46,6,4,36,22,0,300,53
368,20200905,46,2,4,,6,2,,
369,20200908,46,2,4,36,6,3,300,54
370,20200911,46,3,4,36,5,1,300,57
371,20200911,46,2,4,,3,2,,
372,20200911,46,1,4,,15,1,,
373,20200914,46,1,4,,26,0,,
374,20200914,46,5,4,37,7,9,300,33
375,20200914,46,7,4,37,28,1,300,29
376,20200701,24,5,4,,132,7,,
377,20200704,24,6,4,61,89,1,200,120
378,20200704,24,4,4,59,8,3,1000,398
379,20200707,24,2,4,,28,34,,
380,20200707,24,5,4,59,71,25,1000,1034
381,20200710,24,4,4,,68,1,,
382,20200710,24,1,4,61,13,5,200,98
383,20200710,24,7,4,,20,14,,
384,20200713,24,7,4,,96,1,,
385,20200713,24,3,4,61,169,8,200,178
386,20200716,24,5,4,,15,15,,
387,20200716,24,1,4,,176,3,,
388,20200719,24,2,4,,65,9,,
389,20200722,24,1,4,,42,2,,
390,20200725,24,4,4,59,37,11,1000,510
391,20200725,24,2,4,59,123,9,1000,846
392,20200725,24,6,4,61,14,3,200,106
393,20200728,24,6,4,,43,5,,
394,20200728,24,1,4,61,160,7,200,143
395,20200731,24,6,4,59,23,6,1000,246
396,20200731,24,7,4,59,40,5,1000,353
397,20200803,24,4,4,,102,5,,
398,20200803,24,5,4,61,35,2,200,120
399,20200803,24,3,4,60,33,18,300,123
400,20200806,24,5,4,,41,11,,
401,20200806,24,3,4,61,222,4,200,130
402,20200809,24,7,4,59,13,3,1000,414
403,20200809,24,6,4,59,30,12,1000,533
404,20200812,24,7,4,,18,3,,
405,20200812,24,5,4,60,15,0,300,174
406,20200815,24,4,4,,2,6,,
407,20200815,24,1,4,,19,6,,
408,20200818,24,1,4,,34,4,,
409,20200818,24,5,4,60,1,9,300,131
410,20200818,24,2,4,,17,0,,
411,20200821,24,7,4,61,70,13,200,38
412,20200824,24,5,4,61,10,0,200,61
413,20200824,24,7,4,59,54,2,1000,313
414,20200827,24,3,4,60,20,4,300,87
415,20200827,24,2,4,,30,6,,
416,20200830,24,2,4,60,15,0,300,64
417,20200902,24,5,4,59,9,1,1000,94
418,20200905,24,1,4,,3,2,,
419,20200905,24,6,4,61,31,2,200,51
420,20200905,24,3,4,,6,3,,
421,20200908,24,5,4,,11,2,,
422,20200911,24,6,4,,12,8,,
423,20200914,24,1,4,,16,3,,
424,20200914,24,7,4,60,12,4,300,49
425,20200701,38,5,4,12,36,4,500,320
426,20200701,38,3,4,,233,10,,
427,20200704,38,5,4,,101,6,,
428,20200704,38,4,4,11,42,12,750,600
429,20200704,38,7,4,,84,3,,
430,20200707,38,6,4,11,71,13,750,848
431,20200710,38,1,4,11,117,9,750,459
432,20200713,38,7,4,,28,4,,
433,20200713,38,2,4,12,157,2,500,287
434,20200713,38,5,4,11,70,24,750,715
435,20200716,38,6,4,12,113,11,500,252
436,20200719,38,7,4,12,62,19,500,339
437,20200719,38,1,4,,61,1,,
438,20200722,38,6,4,12,75,5,500,403
439,20200725,38,5,4,,173,5,,
440,20200725,38,7,4,12,102,8,500,413
441,20200725,38,1,4,,14,1,,
442,20200728,38,4,4,,53,16,,
443,20200728,38,1,4,12,86,6,500,240
444,20200731,38,3,4,,79,3,,
445,20200731,38,4,4,12,40,15,500,255
446,20200731,38,6,4,12,9,2,500,381
447,20200803,38,5,4,12,96,20,500,149
448,20200803,38,1,4,,54,9,,
449,20200803,38,2,4,,38,13,,
450,20200806,38,1,4,11,83,5,750,290
451,20200806,38,2,4,12,20,4,500,154
452,20200809,38,5,4,,29,3,,
453,20200809,38,2,4,11,37,5,750,326
454,20200809,38,7,4,,25,6,,
455,20200812,38,6,4,,13,6,,
456,20200812,38,3,4,11,41,7,750,325
457,20200815,38,2,4,12,62,4,500,150
458,20200815,38,3,4,12,31,2,500,207
459,20200818,38,1,4,11,48,0,750,188
460,20200821,38,1,4,11,8,5,750,279
461,20200824,38,5,4,12,7,3,500,175
462,20200824,38,2,4,,46,0,,
463,20200827,38,3,4,,13,4,,
464,20200827,38,7,4,11,31,2,750,166
465,20200827,38,2,4,11,25,2,750,113
466,20200830,38,4,4,,15,1,,
467,20200830,38,6,4,12,17,1,500,130
468,20200902,38,6,4,,9,1,,
469,20200905,38,3,4,11,12,3,750,65
470,20200908,38,5,4,,16,1,,
471,20200911,38,3,4,,21,4,,
472,20200911,38,1,4,,9,6,,
473,20200911,38,5,4,11,3,4,750,96
474,20200914,38,3,4,12,2,1,500,55
475,20200520,26,5,5,31,31,7,200,98
476,20200523,26,2,5,,37,1,,
477,20200523,26,3,5,,8,7,,
478,20200523,26,4,5,30,33,4,300,143
479,20200526,26,4,5,30,24,2,300,108
480,20200526,26,6,5,32,96,1,200,76
481,20200526,26,2,5,31,75,1,200,110
482,20200529,26,7,5,31,3,1,200,105
483,20200601,26,5,5,,11,1,,
484,20200601,26,4,5,31,5,0,200,48
485,20200604,26,3,5,,5,0,,
486,20200607,26,4,5,32,8,2,200,39
487,20200520,28,1,5,,67,5,,
488,20200523,28,2,5,52,52,5,150,146
489,20200523,28,4,5,49,35,3,200,208
490,20200526,28,2,5,49,38,4,200,70
491,20200526,28,7,5,50,61,4,1000,546
492,20200526,28,1,5,,38,4,,
493,20200529,28,5,5,51,22,5,150,93
494,20200529,28,3,5,49,12,2,200,106
495,20200529,28,4,5,49,41,1,200,64
496,20200601,28,6,5,50,14,2,1000,328
497,20200604,28,2,5,52,3,0,150,13
498,20200604,28,1,5,52,8,0,150,24
499,20200607,28,2,5,,6,0,,
500,20200520,30,3,5,,40,2,,
501,20200520,30,4,5,2,40,5,150,171
502,20200523,30,5,5,2,62,6,150,56
503,20200523,30,6,5,3,18,4,1000,1066
504,20200523,30,1,5,1,14,0,150,75
505,20200526,30,4,5,,54,8,,
506,20200526,30,6,5,,4,1,,
507,20200526,30,5,5,,18,1,,
508,20200529,30,3,5,3,24,0,1000,419
509,20200601,30,6,5,3,10,1,1000,367
510,20200601,30,4,5,4,14,0,300,109
511,20200601,30,3,5,1,12,4,150,52
512,20200604,30,6,5,,4,0,,
513,20200604,30,5,5,3,4,1,1000,244
514,20200607,30,5,5,,5,1,,
515,20200607,30,3,5,,1,1,,
516,20220515,48,2,6,58,35,0,300,259
517,20220515,48,4,6,,15,19,,
518,20220518,48,2,6,,31,4,,
519,20220518,48,1,6,57,125,10,500,484
520,20220518,48,5,6,,170,22,,
521,20220521,48,4,6,,75,3,,
522,20220521,48,3,6,,25,10,,
523,20220521,48,5,6,,96,7,,
524,20220524,48,6,6,58,55,7,300,196
525,20220524,48,7,6,57,199,24,500,494
526,20220524,48,1,6,58,149,9,300,305
527,20220527,48,4,6,,106,15,,
528,20220527,48,3,6,,170,14,,
529,20220530,48,2,6,,61,6,,
530,20220530,48,4,6,,30,8,,
531,20220530,48,3,6,57,21,12,500,415
532,20220602,48,2,6,57,120,23,500,212
533,20220602,48,1,6,58,55,12,300,276
534,20220605,48,4,6,,68,5,,
535,20220605,48,5,6,57,9,7,500,458
536,20220608,48,2,6,57,158,3,500,197
537,20220611,48,7,6,,29,7,,
538,20220611,48,3,6,57,75,11,500,295
539,20220614,48,4,6,,47,11,,
540,20220614,48,1,6,58,110,4,300,161
541,20220614,48,6,6,,111,7,,
542,20220617,48,3,6,,14,14,,
543,20220617,48,6,6,57,63,6,500,288
544,20220620,48,1,6,57,119,5,500,258
545,20220623,48,6,6,57,28,1,500,166
546,20220623,48,5,6,57,36,11,500,174
547,20220623,48,7,6,,121,4,,
548,20220626,48,3,6,,28,3,,
549,20220626,48,5,6,,57,13,,
550,20220629,48,2,6,57,13,1,500,104
551,20220629,48,4,6,58,72,1,300,142
552,20220629,48,7,6,58,23,3,300,150
553,20220702,48,1,6,57,19,3,500,165
554,20220702,48,4,6,58,47,5,300,132
555,20220702,48,5,6,57,24,4,500,132
556,20220705,48,7,6,58,15,3,300,65
557,20220705,48,2,6,,43,9,,
558,20220708,48,6,6,,32,1,,
559,20220711,48,1,6,,3,2,,
560,20220711,48,6,6,,3,2,,
561,20220711,48,7,6,58,15,5,300,80
562,20220714,48,6,6,57,40,0,500,46
563,20220714,48,7,6,57,6,1,500,53
564,20220717,48,4,6,,8,0,,
565,20220717,48,1,6,58,34,3,300,38
566,20220720,48,1,6,57,6,5,500,128
567,20220720,48,2,6,,15,2,,
568,20220723,48,3,6,,26,1,,
569,20220723,48,6,6,57,39,0,500,109
570,20220723,48,4,6,,10,0,,
571,20220726,48,4,6,58,12,0,300,64
572,20220726,48,6,6,,10,4,,
573,20220515,50,6,6,,120,7,,
574,20220515,50,3,6,55,66,14,150,155
575,20220515,50,4,6,,105,8,,
576,20220518,50,3,6,54,42,15,300,287
577,20220518,50,4,6,55,144,10,150,104
578,20220521,50,7,6,55,55,27,150,82
579,20220521,50,6,6,,177,6,,
580,20220521,50,4,6,56,153,16,200,191
581,20220524,50,6,6,,72,14,,
582,20220524,50,7,6,,148,3,,
583,20220524,50,3,6,,49,13,,
584,20220527,50,2,6,,57,15,,
585,20220527,50,3,6,54,172,6,300,179
586,20220527,50,1,6,56,63,8,200,179
587,20220530,50,7,6,56,116,9,200,181
588,20220602,50,2,6,53,50,4,200,163
589,20220602,50,7,6,55,17,15,150,100
590,20220605,50,6,6,53,169,8,200,147
591,20220605,50,2,6,,45,3,,
592,20220608,50,4,6,,56,7,,
593,20220608,50,1,6,54,75,13,300,173
594,20220611,50,3,6,,63,17,,
595,20220611,50,7,6,,47,1,,
596,20220614,50,3,6,,43,6,,
597,20220614,50,2,6,53,14,11,200,63
598,20220614,50,5,6,,33,5,,
599,20220617,50,7,6,,10,13,,
600,20220617,50,4,6,,50,7,,
601,20220620,50,7,6,,12,1,,
602,20220623,50,7,6,53,31,2,200,64
603,20220626,50,6,6,54,16,15,300,55
604,20220629,50,2,6,56,39,6,200,67
605,20220629,50,6,6,,15,3,,
606,20220702,50,6,6,55,46,8,150,45
607,20220702,50,1,6,54,29,3,300,113
608,20220705,50,7,6,56,18,0,200,56
609,20220708,50,2,6,,41,4,,
610,20220711,50,3,6,53,11,0,200,52
611,20220711,50,7,6,56,15,3,200,26
612,20220714,50,6,6,56,18,1,200,48
613,20220714,50,7,6,,23,4,,
614,20220717,50,7,6,56,1,4,200,29
615,20220720,50,7,6,,17,0,,
616,20220720,50,5,6,53,13,1,200,17
617,20220723,50,2,6,,36,0,,
618,20220723,50,1,6,53,26,3,200,28
619,20220726,50,3,6,54,13,0,300,40
620,20220515,54,5,6,,144,18,,
621,20220515,54,4,6,,216,4,,
622,20220515,54,1,6,,191,32,,
623,20220518,54,7,6,,48,18,,
624,20220521,54,7,6,41,58,14,500,290
625,20220521,54,4,6,38,50,7,300,351
626,20220524,54,2,6,,47,10,,
627,20220524,54,1,6,40,80,17,1000,523
628,20220524,54,3,6,39,86,12,150,67
629,20220527,54,1,6,,76,2,,
630,20220527,54,5,6,,125,8,,
631,20220530,54,6,6,38,13,5,300,276
632,20220602,54,2,6,40,119,3,1000,931
633,20220605,54,6,6,,84,7,,
634,20220608,54,4,6,38,72,25,300,165
635,20220611,54,7,6,,19,14,,
636,20220611,54,6,6,41,31,4,500,321
637,20220611,54,3,6,40,111,1,1000,788
638,20220614,54,7,6,39,84,14,150,39
639,20220617,54,7,6,41,32,12,500,257
640,20220620,54,6,6,38,14,3,300,89
641,20220623,54,1,6,,7,4,,
642,20220626,54,3,6,39,51,2,150,31
643,20220626,54,6,6,41,31,1,500,260
644,20220629,54,3,6,,60,3,,
645,20220702,54,1,6,,56,2,,
646,20220702,54,7,6,40,38,1,1000,299
647,20220705,54,4,6,,22,7,,
648,20220705,54,1,6,38,23,12,300,75
649,20220708,54,4,6,,23,0,,
650,20220708,54,7,6,,6,3,,
651,20220711,54,1,6,40,26,2,1000,180
652,20220711,54,3,6,38,16,2,300,57
653,20220711,54,7,6,38,16,0,300,33
654,20220714,54,7,6,40,9,1,1000,230
655,20220714,54,2,6,41,9,2,500,115
656,20220714,54,5,6,,7,1,,
657,20220717,54,2,6,38,6,1,300,54
658,20220717,54,7,6,40,22,2,1000,256
659,20220720,54,4,6,39,6,5,150,25
660,20220720,54,5,6,40,64,2,1000,159
661,20220720,54,3,6,,50,1,,
662,20220723,54,3,6,39,7,1,150,21
663,20220723,54,1,6,38,21,2,300,69
664,20220726,54,3,6,,8,1,,
665,20220726,54,2,6,,32,5,,
666,20220515,52,7,6,,36,12,,
